ISRN_KIND_DTCD,ISRN_KIND_ITCD,ISRN_KIND_SALE_NM,PROD_DTCD,PROD_ITCD,PROD_SALE_NM,VALD_STAR_DATE,VALD_END_DATE,FPIN_STRT_AG_INQY_CODE,SPIN_STRT_AG_INQY_CODE,TPIN_STRT_AG_INQY_CODE,FPIN_STRT_DVSN_CODE,FPIN_STRT_DVSN_VAL,SPIN_STRT_DVSN_CODE,SPIN_STRT_DVSN_VAL,TPIN_STRT_DVSN_CODE,TPIN_STRT_DVSN_VAL,MIN_FPIN,MAX_FPIN,FPIN_DVSN_CODE,MINU_GNDR_CODE,GURT_NBYR_DVSN_CODE,MIN_PAYM_TERM,MAX_PAYM_TERM,PAYM_TERM_DVSN_CODE,MINU_MIN_AG,MINU_MAX_AG,MIN_MTPM_PREM,MAX_MTPM_PREM
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,0,X55,00,0,0,X,55,0,0,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,0,X56,00,0,0,X,56,0,0,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,0,X57,00,0,0,X,57,0,0,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,0,X58,00,0,0,X,58,0,0,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,0,X59,00,0,0,X,59,0,0,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,0,X60,00,0,0,X,60,0,0,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,0,X61,00,0,0,X,61,0,0,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,0,X62,00,0,0,X,62,0,0,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,0,X63,00,0,0,X,63,0,0,,,,,,,,,,,,
1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,1228,133,한화생명 연금저축 하이드림연금보험(1종 신계약체결용)종신연금형,2022-04-29 00:00:00,9999-12-31 00:00:00,0,X64,00,0,0,X,64,0,0,,,,,,,,,,,,
